Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
Airports Authority of India||Southern Region - AAI||MADURAI - AAI||COMMERCIAL-VOMD - AAI,AAI/MDU/COMML/ET/202324/07,2023_AAI_167510_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,E Tender(short term) for flower stall in check in area at Madurai Airport,E Tender(short term) for flower stall in check in area at Madurai Airport,Please refer tender document,Not Applicable,"10,080",Miscellaneous Services,Flower stall,Tender,180,365,"AAI, MADURAI AIRPORT",625022,"AAI, MADURAI AIRPORT","Chamber of Airport Director, Airports authority of india, Madurai Airport, Madurai",14-Sep-2023 11:30 AM,"AAI, MADURAI AIRPORT",No,No,13-Sep-2023 06:00 PM,20-Sep-2023 03:30 PM,13-Sep-2023 06:00 PM,19-Sep-2023 03:00 PM,13-Sep-2023 06:00 PM,15-Sep-2023 05:00 PM,13-Sep-2023 06:00 PM,19-Sep-2023 03:00 PM,AIRPORT DIRECTOR,"Chamber of Airport Director, Airports authority of india, Madurai Airport, Madurai"
Airports Authority of India||Western Region - AAI||SURAT - AAI||ENGG CIVIL-VASU - AAI,AAI/SOLAPUR/CIVIL/2023-24/01,2023_AAI_167233_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"8,75,860",No,percentage,2.0%,Nil,Nil,Construction of Boundary Wall for Protection to AAI Land at Solapur Airport,Construction of Boundary Wall for Protection to AAI Land at Solapur Airport,As per NIT.,NA,"4,37,93,000",Civil Works,Boundary Wall,Tender,90,270,Solapur Airport.,413224,NA,NA,NA,Kolhapur Airport.,No,No,13-Sep-2023 06:00 PM,09-Oct-2023 11:00 AM,14-Sep-2023 09:30 AM,06-Oct-2023 06:30 PM,14-Sep-2023 09:30 AM,21-Sep-2023 06:30 PM,14-Sep-2023 09:30 AM,06-Oct-2023 06:30 PM,Sr. Manager (E-C),Engineering Office Kolhapur Airport.
Airports Authority of India||CHQ - AAI||Technical - AAI,SE/4/2022-AIRPORT SECURITY,2023_AAI_167574_1,Yes,Open Tender,Tender cum Auction,Services,2,No,No,Online,No,No,No,"20,650",Nil,Nil,Yes,"1,84,95,000",Yes,fixed,NA,Nil,Nil,HIRING OF 53 NOS. OF LIGHT CATEGORY OF BULLET PROOF VEHICLES (LBPVs) FOR THE OPERATIONAL USE OF CISF PERSONNEL (Q.R.T) AT VARIOUS AAI AIRPORTS IN INDIA FOR A PERIOD OF 05 (FIVE) YEARS AND FURTHER EXTENDABLE BY 02 (TWO) MORE YEARS.,HIRING OF 53 NOS. OF LIGHT CATEGORY OF BULLET PROOF VEHICLES (LBPVs) FOR THE OPERATIONAL USE OF CISF PERSONNEL (Q.R.T) AT VARIOUS AAI AIRPORTS IN INDIA FOR A PERIOD OF 05 (FIVE) YEARS AND FURTHER EXTENDABLE BY 02 (TWO) MORE YEARS.,Please refer Tender documents.,"1. Shri Prabhat Ranjan Acharya, IA and AS (Retd.) 2. Shri Kuldip Kumar Peshin, CE and MES (Retd.)","1,59,95,00,000",Miscellaneous Services,NA,Tender,180,1825,New Delhi,110003,"CHQ AAI, New Delhi","CHQ AAI, New Delhi",03-Oct-2023 03:00 PM,"CHQ AAI, New Delhi",No,No,13-Sep-2023 05:30 PM,23-Oct-2023 03:30 PM,13-Sep-2023 05:30 PM,18-Oct-2023 11:00 AM,13-Sep-2023 05:30 PM,25-Sep-2023 06:00 PM,13-Sep-2023 05:30 PM,18-Oct-2023 11:00 AM,ED Tech,"CHQ AAI, Safdarjung Airport, New Delhi"
Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||COMMERCIAL-VERC - AAI,AAI/RC/CML/SL/2023/SEPT,2023_AAI_167432_1,Yes,Open Tender,Sale,Services,2,No,No,Online,No,No,No,"4,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,License	for Operating Two Numbers of Smoking Lounge and Sales Kiosk at Ranchi Airport,"License	for Operating Two Numbers of Smoking Lounge and Sales Kiosk inside Domestic Security Hold Area at
Birsa Munda Airport, Ranchi",Please refer Tender documents.,NA,"71,507",Miscellaneous Services,NA,Tender,180,1825,Ranchi Airport,834002,NA,NA,NA,Ranchi,No,No,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,04-Oct-2023 04:00 PM,NA,NA,13-Sep-2023 04:00 PM,04-Oct-2023 04:00 PM,Airport Director,Ranchi Airport
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/RETAIL/R18/2023-24,2023_AAI_167344_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"25,000",Chandigarh International Airport Limited,Chandigarh,No,"3,31,800",No,fixed,NA,Chandigarh International Airport Limited,Chandigarh,License for Operating Retail Outlet Facility (Footwear and Leather Accessories),"License for Operating Retail Outlet Facility (Footwear and Leather Accessories) at SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"2,76,500",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/o CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/ADR02/2023-24,2023_AAI_167392_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"10,000",Chandigarh International Airport Limited,Chandigarh,No,"1,12,800",No,fixed,NA,Chandigarh International Airport Limited,Chandigarh,License for operating Retail Outlet Facility (Packed Sweet Shop),"License for operating Retail Outlet Facility (Packed Sweet Shop) in Arrival Hall at SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"94,000",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/o CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/ADR01/2023-24,2023_AAI_167391_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"25,000",Chandigarh International Airport Limited,Chandigarh,No,"2,66,600",No,fixed,NA,"Chandigarh International Airport, Limited",Chandigarh,License for Operating Retail Outlet Facility (Conveneince Retail),"License for Operating Retail Outlet Facility (Conveneince Retail) in Domestic Arrival Hall of SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"2,22,100",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/o CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/RETAIL/R13/2023-24,2023_AAI_167316_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"50,000",Chandigarh International Airport Limited,Chandigarh,No,"16,30,400",No,fixed,NA,Chandigarh International Airport Limited,Chandigarh,License for operating Retail Outlet (Convenience Retail),"License for operating Retail Outlet (Convenience Retail) at SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"13,58,600",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/o CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/RETAIL/R17/2023-24,2023_AAI_167340_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"25,000","Chandigarh International Airport, Limited",Chandigarh,No,"3,65,100",No,fixed,NA,Chandigarh International Airport Limited,Chandigarh,License for operating Retail Outlet Facility (Branded Readymade Garments),"License for operating Retail Outlet Facility (Branded Readymade Garments) at SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"3,04,200",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/s CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI,CHIAL/COMML/RETAIL/R14/2023-24,2023_AAI_167334_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"25,000",Chandigarh International Airport Limited,Chandigarh,No,"3,71,800",No,fixed,NA,Chandigarh International Airport Limited,Chandigarh,License for Operating Retail Outlet Facility (Eyewear and Watches),"License for Operating Retail Outlet Facility (Eyewear and Watches) at SBS International Airport, Chandigarh",Please refer Tender documents.,NA,"3,09,800",Miscellaneous Services,NA,Tender,180,1825,"SBS International Airport, Chandigarh",140306,NA,NA,NA,CHIAL Office,No,No,13-Sep-2023 04:00 PM,06-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,13-Sep-2023 04:00 PM,24-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,CEO CHIAL,"O/o CEO CHIAL, SBS International Airport, Chandigarh"
Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG ELECT-NR - AAI,AAI/RHQ/NR/ENGG(E)/Aligarh-VRV,2023_AAI_167398_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,01,066",No,fixed,NA,Nil,Nil,Provision of Air-Conditioning systems and other miscellaneous electrical works at Aligarh Airport,Provision of Air-Conditioning systems and other miscellaneous electrical works at Aligarh Airport,As per NIT of tender documents,NA,NA,Electrical Works,NA,Tender,90,90,"AAI, ALIGARH AIRPORT, UP",202001,NA,NA,NA,"AAI, RHQ-NR, New Delhi",No,No,13-Sep-2023 12:00 PM,04-Oct-2023 11:00 AM,13-Sep-2023 12:00 PM,03-Oct-2023 11:00 AM,13-Sep-2023 12:00 PM,18-Sep-2023 11:00 AM,13-Sep-2023 12:30 PM,03-Oct-2023 11:00 AM,"AGM (Engg.-E), AAI, RHQ-NR","AGM (Engg.-E), AAI, RHQ-NR, NATS Building, IGIA, New Delhi - 110037"
Airports Authority of India||Southern Region - AAI||PONDICHERRY - AAI||ENGG CIVIL-VOPC - AAI,AAI/PDY/MGR(E-C)/NCC/Link Road/2023-24/,2023_AAI_167082_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"53,963",No,fixed,NA,Nil,Nil,Construction of Link road for NCC Hanger at Puducherry Airport,Construction of Link road for NCC Hanger at Puducherry Airport,As per tender document,NA,"26,98,104",Civil Works,NA,Tender,90,120,"AAI, Puducherry Airport",605008,NA,NA,NA,"O/o Manager (E-C), AAI, Puducherry Airport",No,No,13-Sep-2023 09:30 AM,17-Oct-2023 11:00 AM,14-Sep-2023 09:30 AM,11-Oct-2023 06:00 PM,14-Sep-2023 09:30 AM,06-Oct-2023 04:00 PM,14-Sep-2023 09:30 AM,11-Oct-2023 06:00 PM,Manager (E-C),"AAI, Puducherry Airport"
Airports Authority of India||Eastern Region - AAI||PATNA - AAI||ENGG CIVIL-VEPT - AAI,AAI/PT/AGM(E-C)/E-NIT-05/23-24,2023_AAI_167409_1,Yes,Open Tender,Percentage,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,"Annual Maintenance Contract for Civil Works in Residential Colony during 2023-24 at JPNI Airport, Patna","Annual Maintenance Contract for Civil Works in Residential Colony during 2023-24 at JPNI Airport, Patna",Please refer Tender documents.,NA,"25,00,000",Civil Works,NA,Tender,90,365,"JPNI AIRPORT, PATNA.",800014,NA,NA,NA,"JPNI AIRPORT, PATNA.",No,No,13-Sep-2023 12:08 PM,21-Sep-2023 11:00 AM,13-Sep-2023 09:00 AM,19-Sep-2023 06:00 PM,13-Sep-2023 09:00 AM,15-Sep-2023 06:00 PM,13-Sep-2023 09:00 AM,19-Sep-2023 06:00 PM,AGM (E-C),"JPNI AIRPORT, PATNA."
Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI,AAI/HYD/ENGG(C)/W-03/2023-24,2023_AAI_167386_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"97,642",No,fixed,NA,Nil,Nil,"External Painting of NTR and RGT terminal buildings at Begumpet Airport, Hyderabad.","External Painting of NTR and RGT terminal buildings at Begumpet Airport, Hyderabad.",As per eNIT.,NA,"48,82,100",Civil Works,NA,Tender,90,60,"Begumpet Airport,Hyderabad",500016,NA,NA,NA,"O/o GM(CIC),Begumpet Airport,Hyderabad.",No,No,13-Sep-2023 09:00 AM,25-Sep-2023 11:00 AM,13-Sep-2023 09:30 AM,23-Sep-2023 06:00 PM,13-Sep-2023 09:30 AM,18-Sep-2023 06:00 PM,13-Sep-2023 09:30 AM,23-Sep-2023 06:00 PM,S.Gopal Krishna,"O/o GM(CIC), Begumpet Airport, Hyderabad."
Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||ENGG CIVIL-WR - AAI,AAI/WR/MUM/ATS/ENGG.-CIVIL/157,2023_AAI_167093_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,79,419",No,fixed,NA,Nil,Nil,Storage space requirement for New automation and ASMGCS project.,Storage space requirement for New automation and ASMGCS project.,As per NIT,NA,"89,70,941",Construction Works,NA,Tender,90,90,ATS Complex Mumbai,400099,NA,NA,NA,ATS Complex Mumbai,No,No,12-Sep-2023 06:00 PM,06-Oct-2023 11:00 AM,13-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,13-Sep-2023 09:30 AM,20-Sep-2023 06:00 PM,13-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,Asstt. General Manager Engg.Civil,"O/o Asstt. General Manager Engg.Civil  Airports Authority of India, ATS Complex, Near Sahar Cargo, Sutar Pakhadi  Road Andheri (E), Mumbai-400099"
Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,AAI/SXR/Comml/F and B-Dep,2023_AAI_167345_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"25,000",Nil,Nil,No,"3,75,000",No,fixed,NA,Nil,Nil,Short Term License to operate Food and Beverages Outlets (in Departure) at  Srinagar International Airport,"Short Term License to operate Food and Beverages Outlets (in Departure) at  Srinagar International Airport, Srinagar.",Please refer Tender documents.,NA,"8,86,000",Miscellaneous Services,NA,Tender,180,270,Srinagar International Airport,190007,NA,NA,NA,Please refer Tender Document,No,No,12-Sep-2023 06:00 PM,21-Sep-2023 06:00 PM,12-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,12-Sep-2023 06:00 PM,15-Sep-2023 06:00 PM,12-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,office of Airport Director AAI Srinagar,office of Airport Director AAI Srinagar
Airports Authority of India||Eastern Region - AAI||RAIPUR - AAI||ENGG ELECT-VARP - AAI,AAI/E-E/ROTUNDA/23-24/ENIT-01,2023_AAI_166841_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,120",Nil,Nil,No,"28,914",No,fixed,NA,Nil,Nil,"Construction of Fixed Finger, Rotunda for SITC of PBB at S.V Airport Raipur. SH Electrical works.","Construction of Fixed Finger, Rotunda for SITC of PBB at S.V Airport, Raipur. SH Electrical works",As per NIT criteria,NA,"14,45,675",Electrical Works,Electrical Works,Tender,90,150,"S.V. Airport, Raipur",492015,NA,NA,NA,"S.V. Airport, Raipur",No,No,12-Sep-2023 06:00 PM,06-Oct-2023 11:00 AM,13-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,13-Sep-2023 09:30 AM,27-Sep-2023 12:00 PM,13-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,SM (E-E),"S.V. Airport, Raipur"
Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG ELECT-NER - AAI,AAI/DBR/2023-24/GLFSAPRES,2023_AAI_167317_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,Yes,"54,530",No,fixed,NA,Nil,Nil,Supply of GLF Sapres and other allied works for E and M installations at Darbhanga Airport,Supply of GLF Sapres and other allied works for E and M installations at Darbhanga Airport,As per NIT,NA,"27,26,475",Electrical Works,NA,Rate Contract,90,120,Darbhanga Airport,846005,NA,NA,NA,O/o Electrical Division  Darbhanga,No,No,12-Sep-2023 05:00 PM,06-Oct-2023 11:00 AM,12-Sep-2023 05:00 PM,04-Oct-2023 05:00 PM,12-Sep-2023 05:00 PM,18-Sep-2023 02:00 PM,12-Sep-2023 05:00 PM,04-Oct-2023 05:00 PM,"DGM(E-E),Darbhanga Airport",O/o Electrical Division  Darbhanga
Airports Authority of India||Western Region - AAI||KANDLA - AAI||CNS-VAKE - AAI,AAI/Kandla/Comml/SBC/2023-25,2023_AAI_166570_1,Yes,Open Tender,Sale,Services,2,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,License for Snacks Bar Counter in SHA at Kandla Airport,License for Snacks Bar Counter in SHA at Kandla Airport,as per NIT,NA,"26,861",Facility Management Services,Snack Bar Counter,Tender,180,30,Kandla Airport Gujarat,370110,NA,NA,NA,Kandla Airport,No,No,12-Sep-2023 03:00 PM,06-Oct-2023 11:00 AM,12-Sep-2023 03:00 PM,03-Oct-2023 03:00 PM,12-Sep-2023 03:00 PM,26-Sep-2023 06:00 PM,12-Sep-2023 03:00 PM,03-Oct-2023 03:00 PM,APD Kandla,"O/O Airport Director, Airports Authority of India, Kandla Airport, PO Anjar 370110 Gujarat"
Airports Authority of India||CHQ - AAI||Finance - AAI,AAI/CHQ/RCS/alliance air/2022-23,2023_AAI_167331_1,Yes,Open Tender,Item Rate,Services,2,No,No,Online,No,No,No,0.00,Nil,Nil,No,"1,18,200",Yes,fixed,NA,Nil,Nil,conducting audit   submission  of Audit reports  on year wise of  Alliance   Air Av iation Ltd. Selected Airline Operator (SAO),"conducting audit   submission  of Audit reports  on year wise of  Alliance   Air Av iation Ltd. Selected Airline Operator (SAO) for the period from F.Y. 2018-19 to 2021-22(04
Financial Years).",Please refer Tender documents.,NA,"59,07,400",Miscellaneous Services,NA,Tender,180,90,"Domestic Terminal-1, IGI Airport, New Delhi-110037",110037,NA,NA,NA,"AAI CHQ, New Delhi",No,No,12-Sep-2023 12:40 PM,19-Sep-2023 03:35 PM,12-Sep-2023 12:40 PM,18-Sep-2023 03:00 PM,NA,NA,12-Sep-2023 12:40 PM,18-Sep-2023 03:00 PM,AGM(Fin),"AAI CHQ, New Delhi"
Airports Authority of India||CHQ - AAI||Finance - AAI,AAI/CHQ/RCS/interglobe/2022-23,2023_AAI_167326_1,Yes,Open Tender,Item Rate,Services,2,No,No,Online,No,No,No,0.00,Nil,Nil,No,"1,22,370",Yes,fixed,NA,Nil,Nil,conducting audit  submission of Audit reports year wise of InterGlobe  Av iation Pvt. Ltd. (Indigo) Selected Airline Operator (SAO) for the period from F.Y. 2018-19 to 2021-22(04 Financial Years).,conducting audit  submission of Audit reports year wise of InterGlobe  Av iation Pvt. Ltd. (Indigo) Selected Airline Operator (SAO) for the period from F.Y. 2018-19 to 2021-22(04 Financial Years).,Please refer Tender documents.,NA,"61,18,200",Miscellaneous Services,NA,Tender,180,90,"Ground floor, Central wing, Thapar House,New Delhi",110001,NA,NA,NA,"AAI CHQ, New Delhi",No,No,12-Sep-2023 12:30 PM,19-Sep-2023 03:30 PM,12-Sep-2023 12:30 PM,18-Sep-2023 03:00 PM,NA,NA,12-Sep-2023 12:30 PM,18-Sep-2023 03:00 PM,AGM(Fin),"AAI CHQ, New Delhi"
Airports Authority of India||CHQ - AAI||Finance - AAI,AAI/CHQ/RCS/2022-23,2023_AAI_167318_1,Yes,Open Tender,Item Rate,Services,2,No,No,Online,No,No,No,0.00,Nil,Nil,No,"1,21,800",Yes,fixed,NA,Nil,Nil,conducting audit  submission of Audit reports on year wise of Spicejet Ltd. Selected Airline Operator (SAO),"conducting audit  submission of Audit reports on year wise of Spicejet Ltd. Selected Airline Operator (SAO) for the period from F.Y. 2018-
19 to 2021-22 (04 Financial Years).",Please refer Tender documents.,NA,"60,87,200",Miscellaneous Services,NA,Tender,180,90,"319, Udyog Vihar phase IV, Gurugram, Haryan-122016",122016,NA,NA,NA,"AAI CHQ, New Delhi",No,No,12-Sep-2023 12:15 PM,19-Sep-2023 03:30 PM,12-Sep-2023 12:15 PM,18-Sep-2023 03:00 PM,NA,NA,12-Sep-2023 12:15 PM,18-Sep-2023 03:00 PM,AGM(fin),"AAI CHQ, New Delhi"
Airports Authority of India||CHQ - AAI||Engineering Electrical - AAI,Patna - Signages,2023_AAI_166909_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"9,10,000",No,fixed,NA,Nil,Nil,Patna-Signages,"Construction of New Domestic Terminal Building and Other Structures (Phase I and II) at Patna Airport. 
SH- Design SITC of Illuminated and Non-Illuminated Way Finding Signages",As per Tender Document,NA,"4,55,00,000",Electrical Works,NA,Tender,90,120,Patna,800014,NA,NA,NA,"CHQ, AAI, New Delhi",No,No,11-Sep-2023 06:55 PM,05-Oct-2023 11:00 AM,12-Sep-2023 09:30 AM,03-Oct-2023 03:00 PM,12-Sep-2023 09:30 AM,18-Sep-2023 06:00 PM,21-Sep-2023 09:30 AM,03-Oct-2023 03:00 PM,"AGM (E-E)-ER, CHQ","Airports Authority of India, Old R.D. Building, Safdarjung Airport, New Delhi- 110003"
Airports Authority of India||Northern Region - AAI||ALLAHABAD - AAI||ENGG CIVIL-ALLAHABAD - AAI,AAI/DDN/ENGG/GRASS CUTTING/2023-24,2023_AAI_167273_1,Yes,Open Tender,Percentage,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,60,000",No,percentage,2.0%,Nil,Nil,Annual Maintenance Contract for Operational area Grass/Bush cutting including Scaring away of Birds from operational area of Dehradun Airport for year 2023-24,Annual Maintenance Contract for Operational area Grass/Bush cutting including Scaring away of Birds from operational area of Dehradun Airport for year 2023-24,Please refer Tender Document.,NA,"80,00,000",Civil Works,NA,Tender,90,365,Dehradun Airport,248140,NA,NA,NA,Dehradun Airport,No,No,11-Sep-2023 06:30 PM,04-Oct-2023 11:00 AM,12-Sep-2023 09:30 AM,02-Oct-2023 06:00 PM,12-Sep-2023 09:30 AM,18-Sep-2023 06:00 PM,12-Sep-2023 09:30 AM,02-Oct-2023 06:00 PM,SM (E-C),"O/o SM (E-C), AAI, Dehradun Airport"
Airports Authority of India||Northern Region - AAI||JODHPUR - AAI||ENGG ELECT-JODHPUR - AAI,AAI/Jodhpur/Prepaid Taxi Counter/2023-24,2023_AAI_167136_1,Yes,Open Tender,Sale,Services,2,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,"Prepaid Taxi Service Counter License at Civil Enclave, Jodhpur","Prepaid Taxi Service Counter License at Civil Enclave, Jodhpur",Please refer Tender documents.,NA,NA,Allotment of Space,NA,Tender,180,552,Jodhpur,342011,NA,NA,NA,Jodhpur,No,No,11-Sep-2023 06:00 PM,06-Oct-2023 11:00 AM,11-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,11-Sep-2023 06:00 PM,22-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,Airport Director,"Airports Authority of India Civil Enclave, Jodhpur"
Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG CIVIL-VEBD - AAI,AAI/BD/Engg(C)/NIT-03/CB/23-24,2023_AAI_167216_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"34,396",No,fixed,NA,Nil,Nil,Renovation of AAI staff quarters at Cooch Behar Airport.,Renovation of AAI staff quarters at Cooch Behar Airport.,As per NIT.,NA,"17,19,781",Civil Works,NA,Tender,180,120,Bagdogra Airport,734421,NA,NA,NA,Bagdogra Airport,No,No,11-Sep-2023 06:00 PM,05-Oct-2023 11:00 AM,12-Sep-2023 09:30 AM,03-Oct-2023 06:00 PM,12-Sep-2023 09:30 AM,25-Sep-2023 06:00 PM,12-Sep-2023 09:30 AM,03-Oct-2023 06:08 PM,AGM (E-C),"AAI, Bagdogra Airport"
Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG CIVIL-VEBD - AAI,AAI/BD/Engg(C)/NIT-02/CB/23-24,2023_AAI_167215_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"25,684",No,fixed,NA,Nil,Nil,Cutting grass and bushes and levelling of earth beyond the Runway basic strip in operational area at Cooch Behar.,"Cutting grass and bushes and
levelling of earth beyond the Runway basic strip in operational area at Cooch Behar
Airport.",As per NIT.,NA,"12,84,218",Civil Works,NA,Tender,180,120,Bagdogra Airport,734421,NA,NA,NA,Bagdogra Airport,No,No,11-Sep-2023 06:00 PM,05-Oct-2023 11:00 AM,12-Sep-2023 09:30 AM,03-Oct-2023 06:00 PM,12-Sep-2023 09:30 AM,25-Sep-2023 06:00 PM,12-Sep-2023 09:30 AM,03-Oct-2023 06:00 PM,AGM (E-C),"AAI, Bagdogra Airport"
